,ID,ResDensity,N_TraitValue,Habitat,Res_MovementDimensionality,Con_MovementDimensionality,ConTaxa,ResTaxa
0,39835,10.0,0.001205546,Freshwater,3D,3D,Cyclops bicuspidatus Claus 1857,Panagrolaimus spp.
1,39835,10.0,0.001064899,Freshwater,3D,3D,Cyclops bicuspidatus Claus 1857,Panagrolaimus spp.
2,39835,10.0,0.001205546,Freshwater,3D,3D,Cyclops bicuspidatus Claus 1857,Panagrolaimus spp.
3,39835,25.0,0.002561778,Freshwater,3D,3D,Cyclops bicuspidatus Claus 1857,Panagrolaimus spp.
4,39835,25.0,0.002411097,Freshwater,3D,3D,Cyclops bicuspidatus Claus 1857,Panagrolaimus spp.
5,39835,25.0,0.002009236,Freshwater,3D,3D,Cyclops bicuspidatus Claus 1857,Panagrolaimus spp.
6,39835,25.0,0.0015873060000000001,Freshwater,3D,3D,Cyclops bicuspidatus Claus 1857,Panagrolaimus spp.
7,39835,50.0,0.004329917,Freshwater,3D,3D,Cyclops bicuspidatus Claus 1857,Panagrolaimus spp.
8,39836,19.9323,0.0005247930000000001,Freshwater,2D,2D,Rhyacophila dorsalis (Curtis 1834),Chironomus spp.
9,39836,40.1737,0.000950054,Freshwater,2D,2D,Rhyacophila dorsalis (Curtis 1834),Chironomus spp.
10,39836,60.0883,0.001321028,Freshwater,2D,2D,Rhyacophila dorsalis (Curtis 1834),Chironomus spp.
11,39836,80.3182,0.001646761,Freshwater,2D,2D,Rhyacophila dorsalis (Curtis 1834),Chironomus spp.
12,39836,100.219,0.0019001110000000001,Freshwater,2D,2D,Rhyacophila dorsalis (Curtis 1834),Chironomus spp.
13,39836,120.12299999999999,0.0021805929999999998,Freshwater,2D,2D,Rhyacophila dorsalis (Curtis 1834),Chironomus spp.
14,39836,140.338,0.002370611,Freshwater,2D,2D,Rhyacophila dorsalis (Curtis 1834),Chironomus spp.
15,39836,160.232,0.0025696670000000003,Freshwater,2D,2D,Rhyacophila dorsalis (Curtis 1834),Chironomus spp.
16,39836,180.447,0.002759685,Freshwater,2D,2D,Rhyacophila dorsalis (Curtis 1834),Chironomus spp.
17,39836,200.335,0.0029044440000000004,Freshwater,2D,2D,Rhyacophila dorsalis (Curtis 1834),Chironomus spp.
18,39837,19.9323,0.000255428,Freshwater,2D,2D,Rhyacophila dorsalis (Curtis 1834),Chironomus spp.
19,39837,40.1737,0.00048348900000000003,Freshwater,2D,2D,Rhyacophila dorsalis (Curtis 1834),Chironomus spp.
20,39837,60.0883,0.000702426,Freshwater,2D,2D,Rhyacophila dorsalis (Curtis 1834),Chironomus spp.
21,39837,80.3182,0.000893998,Freshwater,2D,2D,Rhyacophila dorsalis (Curtis 1834),Chironomus spp.
22,39837,100.219,0.001076446,Freshwater,2D,2D,Rhyacophila dorsalis (Curtis 1834),Chironomus spp.
23,39837,120.12299999999999,0.00124065,Freshwater,2D,2D,Rhyacophila dorsalis (Curtis 1834),Chironomus spp.
24,39837,140.338,0.0013866070000000002,Freshwater,2D,2D,Rhyacophila dorsalis (Curtis 1834),Chironomus spp.
25,39837,160.232,0.001514322,Freshwater,2D,2D,Rhyacophila dorsalis (Curtis 1834),Chironomus spp.
26,39837,180.447,0.001642037,Freshwater,2D,2D,Rhyacophila dorsalis (Curtis 1834),Chironomus spp.
27,39837,180.447,0.0017788720000000001,Freshwater,2D,2D,Rhyacophila dorsalis (Curtis 1834),Chironomus spp.
28,39838,19.9323,0.00012963,Freshwater,2D,2D,Rhyacophila dorsalis (Curtis 1834),Chironomus spp.
29,39838,40.1737,0.000231481,Freshwater,2D,2D,Rhyacophila dorsalis (Curtis 1834),Chironomus spp.
30,39838,60.0883,0.00034259300000000003,Freshwater,2D,2D,Rhyacophila dorsalis (Curtis 1834),Chironomus spp.
31,39838,80.3182,0.00047222199999999995,Freshwater,2D,2D,Rhyacophila dorsalis (Curtis 1834),Chironomus spp.
32,39838,100.219,0.000574074,Freshwater,2D,2D,Rhyacophila dorsalis (Curtis 1834),Chironomus spp.
33,39838,120.12299999999999,0.000666667,Freshwater,2D,2D,Rhyacophila dorsalis (Curtis 1834),Chironomus spp.
34,39838,140.338,0.000759259,Freshwater,2D,2D,Rhyacophila dorsalis (Curtis 1834),Chironomus spp.
35,39838,160.232,0.000851852,Freshwater,2D,2D,Rhyacophila dorsalis (Curtis 1834),Chironomus spp.
36,39838,180.447,0.0009444439999999999,Freshwater,2D,2D,Rhyacophila dorsalis (Curtis 1834),Chironomus spp.
37,39838,200.335,0.001037037,Freshwater,2D,2D,Rhyacophila dorsalis (Curtis 1834),Chironomus spp.
38,39839,19.9323,0.000123763,Freshwater,2D,2D,Rhyacophila dorsalis (Curtis 1834),Chironomus spp.
39,39839,40.1737,0.000209748,Freshwater,2D,2D,Rhyacophila dorsalis (Curtis 1834),Chironomus spp.
40,39839,60.0883,0.000276806,Freshwater,2D,2D,Rhyacophila dorsalis (Curtis 1834),Chironomus spp.
41,39839,80.3182,0.00031558,Freshwater,2D,2D,Rhyacophila dorsalis (Curtis 1834),Chironomus spp.
42,39839,100.219,0.00040158,Freshwater,2D,2D,Rhyacophila dorsalis (Curtis 1834),Chironomus spp.
43,39839,120.12299999999999,0.000430828,Freshwater,2D,2D,Rhyacophila dorsalis (Curtis 1834),Chironomus spp.
44,39839,140.338,0.000497931,Freshwater,2D,2D,Rhyacophila dorsalis (Curtis 1834),Chironomus spp.
45,39839,160.232,0.000536659,Freshwater,2D,2D,Rhyacophila dorsalis (Curtis 1834),Chironomus spp.
46,39839,180.447,0.0006131940000000001,Freshwater,2D,2D,Rhyacophila dorsalis (Curtis 1834),Chironomus spp.
47,39839,200.335,0.000670835,Freshwater,2D,2D,Rhyacophila dorsalis (Curtis 1834),Chironomus spp.
48,39840,0.25,0.28732800000000003,Freshwater,3D,3D,Salvelinus alpinus (Linnaeus 1758),Daphnia longispina (O.F. Mller 1776)
49,39840,0.25,0.16456199999999999,Freshwater,3D,3D,Salvelinus alpinus (Linnaeus 1758),Daphnia longispina (O.F. Mller 1776)
50,39840,0.25,0.186344,Freshwater,3D,3D,Salvelinus alpinus (Linnaeus 1758),Daphnia longispina (O.F. Mller 1776)
51,39840,0.25,0.233869,Freshwater,3D,3D,Salvelinus alpinus (Linnaeus 1758),Daphnia longispina (O.F. Mller 1776)
52,39840,0.5,0.0578243,Freshwater,3D,3D,Salvelinus alpinus (Linnaeus 1758),Daphnia longispina (O.F. Mller 1776)
53,39840,0.5,0.11723099999999999,Freshwater,3D,3D,Salvelinus alpinus (Linnaeus 1758),Daphnia longispina (O.F. Mller 1776)
